Plate	Well.position	Catalog.Nr	Probe.ID	Sample.Name	Accession	Comment
1	A1	NA	34143	hsa-mir-384	MIMAT0001075	NA
1	A2	410008-00	NA	hsa-mir-515-5p	MIMAT0002826	NA
1	A3	410009-00	NA	hsa-mir-518c	MIMAT0002848	NA
1	A4	NA	34256	hsa-mir-548c-3p	MIMAT0003285	NA
1	A5	410011-00	NA	hsa-mir-548d-3p	MIMAT0003323	NA
1	A6	NA	44776	hsa-miRPlus-B1114	NA	NA
1	A7	NA	44782	hsa-let-7c*	MIMAT0004483	NA
1	A8	410023-00	NA	hsa-let-7e*	MIMAT0004485	NA
1	A9	410025-00	NA	hsa-let-7f-2*	MIMAT0004487	NA
1	A10	410030-00	NA	hsa-mir-100*	MIMAT0004512	NA
1	A11	NA	44800	hsa-mir-105	MIMAT0000102	NA
1	A12	NA	NA		NA	NA
1	B1	410032-00	NA	hsa-mir-105*	MIMAT0004516	NA
1	B2	410033-00	NA	hsa-mir-106a*	MIMAT0004517	NA
1	B3	410040-00	NA	hsa-mir-122*	MIMAT0004590	NA
1	B4	NA	44818	hsa-mir-125b-2*	MIMAT0004603	NA
1	B5	NA	44824	hsa-mir-129*	MIMAT0004548	NA
1	B6	410046-00	NA	hsa-mir-130a*	MIMAT0004593	NA
1	B7	410049-00	NA	hsa-mir-132*	MIMAT0004594	NA
1	B8	NA	44838	hsa-mir-135b*	MIMAT0004698	NA
1	B9	NA	44843	hsa-mir-138-1*	MIMAT0004607	NA
1	B10	410055-00	NA	hsa-mir-138-2*	MIMAT0004596	NA
1	B11	410059-00	NA	hsa-mir-141*	MIMAT0004598	NA
1	B12	NA	NA		NA	NA
1	C1	410061-00	NA	hsa-mir-143*	MIMAT0004599	NA
1	C2	NA	44856	hsa-mir-144*	MIMAT0004600	NA
1	C3	410062-00	NA	hsa-mir-145*	MIMAT0004601	NA
1	C4	410064-00	NA	hsa-mir-146a*	MIMAT0004608	NA
1	C5	410065-00	NA	hsa-mir-146b-3p	MIMAT0004766	NA
1	C6	410067-00	NA	hsa-mir-147	MIMAT0000251	NA
1	C7	410072-00	NA	hsa-mir-148b*	MIMAT0004699	NA
1	C8	NA	44870	hsa-mir-149*	MIMAT0004609	NA
1	C9	NA	44872	hsa-mir-150*	MIMAT0004610	NA
1	C10	410075-00	NA	hsa-mir-151-3p	MIMAT0000757	NA
1	C11	410078-00	NA	hsa-mir-155	MIMAT0000646	NA
1	C12	NA	NA		NA	NA
1	D1	410079-00	NA	hsa-mir-155*	MIMAT0004658	NA
1	D2	410081-00	NA	hsa-mir-15a*	MIMAT0004488	NA
1	D3	410085-00	NA	hsa-mir-16-1*	MIMAT0004489	NA
1	D4	410086-00	NA	hsa-mir-16-2*	MIMAT0004518	NA
1	D5	410087-00	NA	hsa-mir-17*	MIMAT0000071	NA
1	D6	410090-00	NA	hsa-mir-181a-2*	MIMAT0004558	NA
1	D7	410092-00	NA	hsa-mir-181c*	MIMAT0004559	NA
1	D8	410094-00	NA	hsa-mir-182*	MIMAT0000260	NA
1	D9	410097-00	NA	hsa-mir-185*	MIMAT0004611	NA
1	D10	410098-00	NA	hsa-mir-186*	MIMAT0004612	NA
1	D11	NA	44905	hsa-mir-187*	MIMAT0004561	NA
1	D12	NA	NA		NA	NA
1	E1	410103-00	NA	hsa-mir-18b	MIMAT0001412	NA
1	E2	410104-00	NA	hsa-mir-18b*	MIMAT0004751	NA
1	E3	410105-00	NA	hsa-mir-191*	MIMAT0001618	NA
1	E4	410107-00	NA	hsa-mir-192*	MIMAT0004543	NA
1	E5	410108-00	NA	hsa-mir-193a-5p	MIMAT0004614	NA
1	E6	NA	44920	hsa-mir-193b	MIMAT0002819	NA
1	E7	NA	44921	hsa-mir-193b*	MIMAT0004767	NA
1	E8	410109-00	NA	hsa-mir-194*	MIMAT0004671	NA
1	E9	410111-00	NA	hsa-mir-195*	MIMAT0004615	NA
1	E10	NA	44930	hsa-mir-198	MIMAT0000228	NA
1	E11	410117-00	NA	hsa-mir-199b-5p	MIMAT0000263	NA
1	E12	NA	NA		NA	NA
1	F1	410120-00	NA	hsa-mir-19b-1*	MIMAT0004491	NA
1	F2	410121-00	NA	hsa-mir-19b-2*	MIMAT0004492	NA
1	F3	410128-00	NA	hsa-mir-202	MIMAT0002811	NA
1	F4	NA	44954	hsa-mir-20a*	MIMAT0004493	NA
1	F5	410134-00	NA	hsa-mir-20b*	MIMAT0004752	NA
1	F6	410136-00	NA	hsa-mir-21*	MIMAT0004494	NA
1	F7	410137-00	NA	hsa-mir-211	MIMAT0000268	NA
1	F8	NA	44964	hsa-mir-215	MIMAT0000272	NA
1	F9	NA	44967	hsa-mir-217	MIMAT0000274	NA
1	F10	410143-00	NA	hsa-mir-218-1*	MIMAT0004565	NA
1	F11	410145-00	NA	hsa-mir-219-1-3p	MIMAT0004567	NA
1	F12	NA	NA		NA	NA
1	G1	410146-00	NA	hsa-mir-219-2-3p	MIMAT0004675	NA
1	G2	410147-00	NA	hsa-mir-220a	MIMAT0000277	NA
1	G3	410148-00	NA	hsa-mir-220b	MIMAT0004908	NA
1	G4	410149-00	NA	hsa-mir-220c	MIMAT0004915	NA
1	G5	410150-00	NA	hsa-mir-221*	MIMAT0004568	NA
1	G6	410152-00	NA	hsa-mir-222*	MIMAT0004569	NA
1	G7	410154-00	NA	hsa-mir-223*	MIMAT0004570	NA
1	G8	NA	44987	hsa-mir-23a*	MIMAT0004496	NA
1	G9	410157-00	NA	hsa-mir-23b*	MIMAT0004587	NA
1	G10	410160-00	NA	hsa-mir-24-2*	MIMAT0004497	NA
1	G11	410162-00	NA	hsa-mir-25*	MIMAT0004498	NA
1	G12	NA	NA		NA	NA
1	H1	410164-00	NA	hsa-mir-26a-1*	MIMAT0004499	NA
1	H2	410165-00	NA	hsa-mir-26a-2*	MIMAT0004681	NA
1	H3	410170-00	NA	hsa-mir-28-3p	MIMAT0004502	NA
1	H4	NA	45009	hsa-mir-298	MIMAT0004901	NA
1	H5	NA	45010	hsa-mir-299-3p	MIMAT0000687	NA
1	H6	410175-00	NA	hsa-mir-29b-1*	MIMAT0004514	NA
1	H7	410176-00	NA	hsa-mir-29b-2*	MIMAT0004515	NA
1	H8	NA	45019	hsa-mir-300	MIMAT0004903	NA
1	H9	410180-00	NA	hsa-mir-301b	MIMAT0004958	NA
1	H10	410182-00	NA	hsa-mir-302a*	MIMAT0000683	NA
1	H11	410184-00	NA	hsa-mir-302b*	MIMAT0000714	NA
1	H12	NA	NA		NA	NA
2	A1	410185-00	NA	hsa-mir-302c*	MIMAT0000716	NA
2	A2	410186-00	NA	hsa-mir-302d*	MIMAT0004685	NA
2	A3	410190-00	NA	hsa-mir-30b*	MIMAT0004589	NA
2	A4	410191-00	NA	hsa-mir-30d*	MIMAT0004551	NA
2	A5	410196-00	NA	hsa-mir-32*	MIMAT0004505	NA
2	A6	NA	45048	hsa-mir-324-3p	MIMAT0000762	NA
2	A7	410197-00	NA	hsa-mir-325	MIMAT0000771	NA
2	A8	NA	45053	hsa-mir-329	MIMAT0001629	NA
2	A9	410199-00	NA	hsa-mir-330-3p	MIMAT0000751	NA
2	A10	410203-00	NA	hsa-mir-337-3p	MIMAT0000754	NA
2	A11	410204-00	NA	hsa-mir-337-5p	MIMAT0004695	NA
2	A12	NA	NA		NA	NA
2	B1	NA	45064	hsa-mir-339-3p	MIMAT0004702	NA
2	B2	410209-00	NA	hsa-mir-33b	MIMAT0003301	NA
2	B3	410210-00	NA	hsa-mir-33b*	MIMAT0004811	NA
2	B4	410213-00	NA	hsa-mir-345	MIMAT0000772	NA
2	B5	NA	45075	hsa-mir-346	MIMAT0000773	NA
2	B6	410214-00	NA	hsa-mir-34a*	MIMAT0004557	NA
2	B7	410216-00	NA	hsa-mir-34b*	MIMAT0000685	NA
2	B8	NA	45080	hsa-mir-34c-3p	MIMAT0004677	NA
2	B9	410217-00	NA	hsa-mir-361-3p	MIMAT0004682	NA
2	B10	410219-00	NA	hsa-mir-362-3p	MIMAT0004683	NA
2	B11	NA	45085	hsa-mir-362-5p	MIMAT0000705	NA
2	B12	NA	NA		NA	NA
2	C1	410221-00	NA	hsa-mir-363*	MIMAT0003385	NA
2	C2	410223-00	NA	hsa-mir-367*	MIMAT0004686	NA
2	C3	410225-00	NA	hsa-mir-371-3p	MIMAT0000723	NA
2	C4	NA	45095	hsa-mir-371-5p	MIMAT0004687	NA
2	C5	410226-00	NA	hsa-mir-372	MIMAT0000724	NA
2	C6	410227-00	NA	hsa-mir-373	MIMAT0000726	NA
2	C7	410228-00	NA	hsa-mir-373*	MIMAT0000725	NA
2	C8	NA	45099	hsa-mir-374a	MIMAT0000727	NA
2	C9	410229-00	NA	hsa-mir-374a*	MIMAT0004688	NA
2	C10	410231-00	NA	hsa-mir-374b*	MIMAT0004956	NA
2	C11	410233-00	NA	hsa-mir-376a	MIMAT0000729	NA
2	C12	NA	NA		NA	NA
2	D1	410235-00	NA	hsa-mir-376b	MIMAT0002172	NA
2	D2	410236-00	NA	hsa-mir-376c	MIMAT0000720	NA
2	D3	NA	45109	hsa-mir-377*	MIMAT0004689	NA
2	D4	NA	45113	hsa-mir-379*	MIMAT0004690	NA
2	D5	410240-00	NA	hsa-mir-380	MIMAT0000735	NA
2	D6	410242-00	NA	hsa-mir-383	MIMAT0000738	NA
2	D7	NA	45124	hsa-mir-412	MIMAT0002170	NA
2	D8	NA	45126	hsa-mir-422a	MIMAT0001339	NA
2	D9	410248-00	NA	hsa-mir-424*	MIMAT0004749	NA
2	D10	410250-00	NA	hsa-mir-429	MIMAT0001536	NA
2	D11	NA	45136	hsa-mir-432	MIMAT0002814	NA
2	D12	NA	NA		NA	NA
